日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
113/05/02,47536363,36983047647,789.0,789.0,772.0,772.0,-18.0,85051
113/05/03,31026748,24240817990,788.0,788.0,773.0,780.0,8.0,35153
113/05/06,33733509,26644713164,791.0,793.0,786.0,786.0,6.0,32394
113/05/07,35917824,28623349239,797.0,800.0,792.0,800.0,14.0,38340
113/05/08,22585765,18032263877,794.0,802.0,792.0,802.0,2.0,23525
113/05/09,22863681,18267303103,798.0,802.0,796.0,796.0,-6.0,23671
113/05/10,27560431,22107595449,803.0,807.0,798.0,802.0,6.0,41029
113/05/13,38146948,31315059679,823.0,825.0,818.0,819.0,17.0,49327
113/05/14,29663617,24309306615,816.0,825.0,811.0,825.0,6.0,34685
113/05/15,41805778,35112739055,838.0,844.0,837.0,839.0,14.0,57892
113/05/16,46276890,39179826883,852.0,856.0,837.0,841.0,2.0,60617
113/05/17,27855719,23373478247,848.0,848.0,834.0,835.0,-6.0,38718
